Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rdcnl3825,ralat umur jagung hanya 3-4 bulan baru panen bukan setahun,0,2025-12-22 07:03:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Adhi-nz2lu,""Ingat - x - jadi + ";
"Nah mereka sudah 😂"",0,2025-12-22 07:02:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@CharlesPanjaitan16,Nah kalau bisa tamunya gini ya 😂😂😂😂😂,0,2025-12-22 07:01:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@gitacintartifiqdiany6833,Aku syukaaaaa 🤣🤣🤣,0,2025-12-22 06:59:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@MarcianoSantos-x1n,Akhirnya dipertemukan 😂😂😂,0,2025-12-22 06:58:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kerispati-o1l,Ini mah counter alaminya firmawan 😂😂😂,0,2025-12-22 06:57:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@aprhmurey4154,""akhirnyaaaa,";
"bang indra ke tempat kukuh pliiiss"",0,2025-12-22 06:57:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,,gaseru harus nya frimawan dikasih lawannya yang korban,0,2025-12-22 06:56:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@windylestari1282,Akhirnya bang indra ada lawan  emosi dia senang sy 😂😂😂 Dr.tirta dong undang,0,2025-12-22 06:56:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bd__________,gua nunggu soleh solihun,0,2025-12-22 06:56:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kobirkasep5676,Jadi ga seru undang kukuh mah,0,2025-12-22 06:56:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@CrawFams,akhirnya ada conternya hiii,0,2025-12-22 06:55:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@yokiherdiansyah397,mulainya dari sini 15:48,1,2025-12-22 06:55:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bd__________,ngeselin vs ngeselin = stress,0,2025-12-22 06:54:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ibnucobra5578,Frimawan tercounter😂,0,2025-12-22 06:54:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bukannopalll,""kukuh ,fajar ,indra gabungin jadi satu😂"",0,2025-12-22 06:53:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rizaldyrizkipangestu6976,hahhahaha,0,2025-12-22 06:53:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@pinginjadi_animator,gak berhenti ngakak sumpah😂😂😂,0,2025-12-22 06:52:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@syahrilsyahputra3615,Bahkan frimawan tak sanggup😂,0,2025-12-22 06:51:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kafabihi8828,Setara byon combat ini,0,2025-12-22 06:51:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@pilotleseuh,""Ibarat lagu, dari awal sampai akhir reff semua"",0,2025-12-22 06:50:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@LembayungSenja-t5k,Makasih udah bikin aq ketawaaa😂😂😂,0,2025-12-22 06:50:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rudiansyahtaka8653,Part ter The best sih Kukuh wkwkwkwkwk,0,2025-12-22 06:49:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@drgWidiaPratidina,Baru kali ini lihat berbeda,0,2025-12-22 06:49:00;
